# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 15 09:39:16 2023
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_time0:      Transit Epoch [BJD]
# COLUMN koi_time0_err1: Transit Epoch Upper Unc. [BJD]
# COLUMN koi_time0_err2: Transit Epoch Lower Unc. [BJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_longp:      Long. of Periastron [deg]
# COLUMN koi_longp_err1: Long. of Periastron Upper Unc. [deg]
# COLUMN koi_longp_err2: Long. of Periastron Lower Unc. [deg]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_ingress:    Ingress Duration [hrs]
# COLUMN koi_ingress_err1: Ingress Duration Upper Unc. [hrs]
# COLUMN koi_ingress_err2: Ingress Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_srho_err1:  Fitted Stellar Density Upper Unc. [g/cm**3]
# COLUMN koi_srho_err2:  Fitted Stellar Density Lower Unc. [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_smet_err1:  Stellar Metallicity Upper Unc. [dex]
# COLUMN koi_smet_err2:  Stellar Metallicity Lower Unc. [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sage_err1:  Stellar Age Upper Unc. [Gyr]
# COLUMN koi_sage_err2:  Stellar Age Lower Unc. [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,,,,,,0.89304770,2.80000e-06,-2.80000e-06,134.5381400,3.80000e-04,-3.80000e-04,2454967.538,3.80000e-04,-3.80000e-04,0,,,,,,0.7500,0.21,-0.21,1.1894,,,,,,738,,,0.02720,1.90000e-03,-1.90000e-03,,,,1.47,0.12,-0.12,0.015,,,79.64,,,973.0,,,,,,4.100000,1.40000,-1.40000,102.70,,,,3834.00,200.00,-200.00,4.760,0.300,-0.300,,,,0.4960,0.0230,-0.0230,0.5120,0.0340,-0.0340,13.7000,3.5000,-3.5000,283.732030,45.958771,15.073
8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,,,,,,3.57878272,5.40000e-07,-5.40000e-07,134.0294050,5.10000e-05,-5.10000e-05,2454967.029,5.10000e-05,-5.10000e-05,0,,,,,,0.0250,0.10,-0.10,2.8982,,,,,,11445,,,0.09633,3.60000e-04,-3.60000e-04,,,,10.93,0.47,-0.47,0.047,,,89.95,,,1189.0,,,,,,10.360000,0.43000,-0.43000,2178.00,,,,5731.00,50.00,-50.00,4.450,0.100,-0.100,,,,1.0390,0.0450,-0.0450,1.1050,0.0210,-0.0210,1.2000,1.1000,-1.1000,289.607970,44.345421,13.938
9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,,,,,,20.83495000,1.80000e-04,-1.80000e-04,176.5780000,3.20000e-03,-3.20000e-03,2455009.578,3.20000e-03,-3.20000e-03,0,,,,,,0.3400,0.99,-0.99,4.0548,,,,,,994,,,0.02860,4.50000e-03,-4.50000e-03,,,,2.42,0.84,-0.84,0.142,,,89.38,,,559.0,,,,,,38.000000,16.00000,-16.00000,46.30,,,,5429.00,102.00,-102.00,4.600,0.300,-0.300,,,,0.7800,0.2400,-0.2400,0.8780,0.0460,-0.0460,0.6000,3.8000,-3.8000,293.018280,45.914688,15.412
9415172,K00938.01,Kepler-255 c,CONFIRMED,CANDIDATE,,,,,,9.94604900,6.70000e-05,-6.70000e-05,171.7003000,2.40000e-03,-2.40000e-03,2455004.700,2.40000e-03,-2.40000e-03,0,,,,,,0.8300,0.13,-0.13,3.4912,,,,,,1034,,,0.03350,2.00000e-03,-2.00000e-03,,,,2.90,1.40,-1.40,0.087,,,86.52,,,729.0,,,,,,13.400000,4.10000,-4.10000,54.70,,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,,,,0.8000,0.3800,-0.3800,0.8780,0.0650,-0.0650,2.4000,4.0000,-4.0000,296.064240,45.976841,15.596
9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,,,,,,1.04563200,1.40000e-05,-1.40000e-05,133.9141000,2.40000e-03,-2.40000e-03,2454966.914,2.40000e-03,-2.40000e-03,0,,,,,,0.7700,0.18,-0.18,1.8348,,,,,,214,,,0.01470,1.00000e-03,-1.00000e-03,,,,1.28,0.62,-0.62,0.019,,,75.06,,,1561.0,,,,,,2.990000,0.92000,-0.92000,27.50,,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,,,,0.8000,0.3800,-0.3800,0.8780,0.0650,-0.0650,2.4000,4.0000,-4.0000,296.064240,45.976841,15.596
9415172,K00938.03,Kepler-255 b,CONFIRMED,NOT DISPOSITIONED,,,,,,5.71442000,1.00000e-04,-1.00000e-04,132.6477000,6.40000e-03,-6.40000e-03,2454965.648,6.40000e-03,-6.40000e-03,0,,,,,,0.8920,0.10,-0.10,2.3220,,,,,,284,,,0.01850,1.50000e-03,-1.50000e-03,,,,1.61,0.78,-0.78,0.060,,,84.22,,,878.0,,,,,,9.300000,2.90000,-2.90000,17.10,,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,,,,0.8000,0.3800,-0.3800,0.8780,0.0650,-0.0650,2.4000,4.0000,-4.0000,296.064240,45.976841,15.596
9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,,,,,,3.38800800,3.40000e-05,-3.40000e-05,170.5325000,3.00000e-03,-3.00000e-03,2455003.533,3.00000e-03,-3.00000e-03,0,,,,,,0.5400,0.16,-0.16,2.7145,,,,,,282,,,0.01583,5.90000e-04,-5.90000e-04,,,,1.54,0.77,-0.77,0.044,,,86.52,,,1165.0,,,,,,8.200000,2.60000,-2.60000,33.50,,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,,,,0.8900,0.4400,-0.4400,1.0000,0.1100,-0.1100,0.4000,3.1000,-3.1000,292.580440,46.097389,15.065
9466668,K00939.02,Kepler-256 d,CONFIRMED,NOT DISPOSITIONED,,,,,,5.83906100,7.70000e-05,-7.70000e-05,132.0944000,4.60000e-03,-4.60000e-03,2454965.094,4.60000e-03,-4.60000e-03,0,,,,,,0.5900,0.15,-0.15,3.1245,,,,,,276,,,0.01581,6.70000e-04,-6.70000e-04,,,,1.54,0.77,-0.77,0.063,,,87.09,,,973.0,,,,,,11.800000,3.80000,-3.80000,26.40,,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,,,,0.8900,0.4400,-0.4400,1.0000,0.1100,-0.1100,0.4000,3.1000,-3.1000,292.580440,46.097389,15.065
9466668,K00939.03,Kepler-256 b,CONFIRMED,NOT DISPOSITIONED,,,,,,1.62043600,2.20000e-05,-2.20000e-05,132.0694000,3.40000e-03,-3.40000e-03,2454965.069,3.40000e-03,-3.40000e-03,0,,,,,,0.5300,0.15,-0.15,2.1337,,,,,,146,,,0.01138,5.30000e-04,-5.30000e-04,,,,1.11,0.56,-0.56,0.027,,,83.65,,,1487.0,,,,,,5.000000,1.60000,-1.60000,24.10,,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,,,,0.8900,0.4400,-0.4400,1.0000,0.1100,-0.1100,0.4000,3.1000,-3.1000,292.580440,46.097389,15.065
9466668,K00939.04,Kepler-256 e,CONFIRMED,NOT DISPOSITIONED,,,,,,10.68176000,1.80000e-04,-1.80000e-04,131.5500000,6.20000e-03,-6.20000e-03,2454964.550,6.20000e-03,-6.20000e-03,0,,,,,,0.6600,0.13,-0.13,3.5771,,,,,,296,,,0.01665,7.80000e-04,-7.80000e-04,,,,1.62,0.81,-0.81,0.095,,,87.66,,,793.0,,,,,,17.700000,5.70000,-5.70000,24.70,,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,,,,0.8900,0.4400,-0.4400,1.0000,0.1100,-0.1100,0.4000,3.1000,-3.1000,292.580440,46.097389,15.065
